"시도명",시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
"경기도",구리시,아차산로,,경기도 구리시 아천동 291-9,31120-CW-00001,1,N,N,37.56379732,127.1153644,6,7.9,17.9,Y,N,N,23,97,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아치울길,,경기도 구리시 아천동 151-1,31120-CW-00002,1,N,N,37.57350171,127.1227105,3,4.9,17.5,Y,N,N,20,100,N,Y,N,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 아천동 100-1,31120-CW-00003,4,N,N,37.57542478,127.1235843,1,4.9,7.6,N,N,N,0,0,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 164-1,31120-CW-00004,1,N,N,37.62704229,127.1402814,7,6.2,24.7,Y,N,Y,27,155,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 아천동 70,31120-CW-00005,4,N,N,37.57587299,127.1249034,1,5,7,N,N,N,0,0,Y,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 산 175-120,31120-CW-00006,1,N,N,37.62857421,127.1404666,1,3,11.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 아천동 79-6,31120-CW-00007,4,N,N,37.57856901,127.1272013,7,7.9,27.9,Y,N,N,33,87,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 교문동 672-6,31120-CW-00008,1,Y,N,37.5812808,127.1289432,7,6.5,24.3,Y,N,N,28,92,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 164-4,31120-CW-00009,1,N,N,37.62663711,127.1400091,1,3.2,9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,한다리길,,경기도 구리시 교문동 667-1,31120-CW-00010,4,N,N,37.58178183,127.1281546,3,6.5,13.1,Y,N,N,21,99,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,한다리길,,경기도 구리시 교문동 667-1,31120-CW-00011,1,N,N,37.58178183,127.1281546,1,3,9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,한다리길,,경기도 구리시 교문동 산 130-3,31120-CW-00012,1,N,N,37.58360702,127.1293666,3,4,12.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 산 175-117,31120-CW-00013,1,N,N,37.6252008,127.1397625,1,3.2,7.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 교문동 462-1,31120-CW-00014,4,N,N,37.58664668,127.1301842,8,5.1,29.8,Y,N,Y,24,156,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 164-4,31120-CW-00015,1,N,N,37.62663711,127.140019,1,3.1,5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 교문동 462-1,31120-CW-00016,1,N,N,37.58664668,127.1301842,8,6,29,Y,N,Y,108,92,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 469-26,31120-CW-00017,4,N,N,37.5873762,127.130489,1,6,7.3,N,N,N,0,0,Y,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 814,31120-CW-00018,4,N,N,37.58768883,127.1332971,5,6.4,17.3,Y,N,Y,24,156,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로13번길,,경기도 구리시 교문동 814,31120-CW-00019,1,N,Y,37.58768883,127.1332971,2,2.9,10,Y,N,N,18,132,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 820-2,31120-CW-00020,1,N,N,37.58749555,127.1329168,7,7.9,24.1,Y,N,Y,29,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로37번길,,경기도 구리시 교문동 814,31120-CW-00021,1,N,N,37.58768883,127.1332971,3,5,10.2,Y,N,Y,18,129,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 820-2,31120-CW-00022,1,N,N,37.58749555,127.1329168,7,8.3,24.1,Y,N,Y,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 820-2,31120-CW-00023,1,N,N,37.58749555,127.1329168,4,6,14.1,Y,N,Y,19,130,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 823-1,31120-CW-00024,1,N,Y,37.58656358,127.1346378,2,4,8.1,Y,N,Y,14,46,N,Y,N,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 823,31120-CW-00025,1,N,N,37.58583837,127.1351764,1,3,18.6,N,N,N,0,0,N,Y,N,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 823-1,31120-CW-00026,1,N,N,37.58656358,127.134647,2,6,8.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자호수길,,경기도 구리시 교문동 826-2,31120-CW-00027,1,N,N,37.58501702,127.1363885,2,6.2,8,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자호수길,,경기도 구리시 수택동 877-2,31120-CW-00028,1,N,N,37.5845557,127.1398484,2,6,8.2,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 교문동 826-1,31120-CW-00029,1,N,N,37.58571995,127.137883,4,6,15.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자호수길,,경기도 구리시 토평동 955-5,31120-CW-00030,1,N,Y,37.58563078,127.1439588,2,5.5,9.7,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자호수길,,경기도 구리시 토평동 955-5,31120-CW-00031,1,N,Y,37.58563078,127.1439588,2,5.5,9.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자호수길,,경기도 구리시 토평동 955-5,31120-CW-00032,1,N,N,37.5856815,127.1439588,2,4,8,N,N,N,0,0,N,Y,N,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자호수길,,경기도 구리시 토평동 955-5,31120-CW-00033,1,N,N,37.58563078,127.1439588,3,4,10.9,N,N,N,0,0,N,Y,N,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자호수길,,경기도 구리시 토평동 955-4,31120-CW-00034,1,N,N,37.5869683,127.1445086,3,6,11.5,Y,N,Y,16,144,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 토평동 955-4,31120-CW-00035,1,N,N,37.5869683,127.1445086,7,8,24.1,Y,N,Y,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 토평동 623-14,31120-CW-00036,4,N,N,37.5864484,127.1477932,5,8.1,16.8,Y,N,Y,34,116,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 토평동 275-8,31120-CW-00037,4,N,N,37.58718851,127.1482391,1,5,7.1,Y,N,Y,24,48,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 토평동 613-9,31120-CW-00038,1,N,N,37.58573932,127.1476743,1,2.5,10.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,벌말로,,경기도 구리시 토평동 613-9,31120-CW-00039,4,N,N,37.58573932,127.1476743,1,6.1,7.2,Y,N,Y,34,116,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 토평동 961-2,31120-CW-00040,1,N,N,37.5872211,127.1427423,6,6,26.1,Y,N,Y,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 토평동 961-2,31120-CW-00041,1,N,N,37.5872462,127.1427423,7,8.3,24,Y,N,Y,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 토평동 961-2,31120-CW-00042,1,N,N,37.58720115,127.1427423,7,8.4,26.5,Y,N,Y,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 수택동 870,31120-CW-00043,1,N,N,37.5877147,127.1395737,7,8,23.5,Y,N,Y,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로86번길,,경기도 구리시 수택동 878-1,31120-CW-00044,1,N,N,37.5873837,127.1408379,2,6.1,7.9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로86번길,,경기도 구리시 수택동 878-3,31120-CW-00045,1,N,N,37.5869095,127.1400231,2,3.4,6.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로86번길,,경기도 구리시 수택동 878-3,31120-CW-00046,1,N,N,37.5869738,127.1400259,1,5,9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로86번길,,경기도 구리시 수택동 878-3,31120-CW-00047,1,N,N,37.58697585,127.1400259,1,4.2,10.7,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로86번길,,경기도 구리시 수택동 878-1,31120-CW-00048,1,N,N,37.58739466,127.1408379,1,3.3,7,N,N,N,0,0,N,Y,N,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 수택동 877-4,31120-CW-00049,1,N,N,37.58553192,127.1379561,4,6.5,14.5,Y,N,Y,26,49,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 교문동 826-1,31120-CW-00050,1,N,N,37.58571995,127.1378529,2,2.3,10.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 825-7,31120-CW-00051,1,N,N,37.58755589,127.1378053,4,4,29.5,Y,N,N,33,117,N,N,N,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 수택동 857,31120-CW-00052,1,N,N,37.59043613,127.1379628,4,6.2,13.6,Y,N,N,19,55,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 수택동 857,31120-CW-00053,1,N,N,37.59043613,127.1379586,4,4,13.8,Y,N,Y,19,55,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 수택동 854,31120-CW-00054,1,N,N,37.59090458,127.1381172,1,3,9.6,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 수택동 857,31120-CW-00055,1,N,N,37.59043613,127.1379425,4,6,13.7,Y,N,Y,33,42,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 교문동 813,31120-CW-00056,1,N,N,37.59108114,127.1378464,1,2.6,7.7,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로,,경기도 구리시 수택동 857,31120-CW-00057,1,N,N,37.59043613,127.1379347,4,7.9,13.6,Y,N,Y,21,54,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00058,1,N,N,37.59148119,127.142442,3,6,12.1,Y,N,Y,21,54,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00059,1,N,Y,37.59148119,127.142442,2,5,9.8,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 860,31120-CW-00060,1,N,N,37.59174346,127.1392374,2,4,7.3,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00061,1,N,Y,37.59148119,127.142442,2,3.3,10.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 861,31120-CW-00062,1,N,N,37.59155892,127.1407919,1,4,10.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00063,1,N,Y,37.59148119,127.142442,2,3,10.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 863,31120-CW-00064,1,N,N,37.59152122,127.1413561,1,3.9,10.8,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00065,1,N,N,37.59148119,127.142442,2,6.1,9.9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00066,1,N,Y,37.59148119,127.142442,2,2,10,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00067,1,N,Y,37.59148119,127.1424678,2,2.7,10,Y,N,N,20,100,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 858,31120-CW-00068,1,N,Y,37.59148119,127.1424587,2,3,9.9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 864,31120-CW-00069,1,N,Y,37.59057731,127.1429359,2,3.1,8.4,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,체육관로74번길,,경기도 구리시 수택동 864,31120-CW-00070,1,N,N,37.59057731,127.1429359,2,5,8.2,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 수택동 865,31120-CW-00071,1,N,Y,37.5895076,127.142516,2,4,9.8,Y,N,N,18,42,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 수택동 865,31120-CW-00072,1,N,Y,37.5895076,127.142516,2,5.9,8,Y,N,Y,18,42,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 수택동 865,31120-CW-00073,1,N,N,37.5895076,127.142516,1,1.9,11.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 수택동 865,31120-CW-00074,1,N,Y,37.5895076,127.1425062,2,7.4,8,Y,N,Y,19,41,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 수택동 870,31120-CW-00075,1,N,N,37.5877103,127.1395737,2,6.1,15.7,Y,N,N,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로111번길,,경기도 구리시 토평동 961-2,31120-CW-00076,1,N,N,37.58720115,127.1427423,2,6.3,13.4,Y,N,Y,30,120,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로111번길,,경기도 구리시 토평동 959-1,31120-CW-00077,1,N,N,37.58907315,127.1444864,2,4.1,9.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로37번길,경기도 구리시 장자대로37번길 20,경기도 구리시 교문동 809-3,31120-CW-00078,1,N,N,37.58854171,127.1350189,1,3,6.4,N,N,N,0,0,N,Y,N,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로37번길,,경기도 구리시 교문동 812,31120-CW-00079,1,N,N,37.59032426,127.1345217,2,6.1,10,Y,N,Y,14,46,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로37번길,,경기도 구리시 교문동 812,31120-CW-00080,1,N,N,37.5903745,127.1345217,2,6.2,10.2,Y,N,Y,14,46,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로37번길,,경기도 구리시 교문동 812,31120-CW-00081,1,N,N,37.59032426,127.1345217,2,6,10,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로37번길,,경기도 구리시 교문동 812,31120-CW-00082,1,N,N,37.59032426,127.1345933,3,6,10,Y,N,Y,14,106,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 교문동 788,31120-CW-00083,1,N,N,37.59240524,127.1374506,4,6.4,15,Y,N,Y,25,155,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로5번길,,경기도 구리시 교문동 788,31120-CW-00084,1,N,N,37.59240524,127.1374506,1,3.5,5.6,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로1번길,,경기도 구리시 교문동 788,31120-CW-00085,1,N,N,37.59240524,127.1374506,1,4,8.3,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 교문동 788,31120-CW-00086,1,N,N,37.59240524,127.1374506,4,6.3,14.1,Y,N,Y,18,42,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로15번길,,경기도 구리시 교문동 786,31120-CW-00087,1,N,N,37.5928535,127.1330188,1,4.2,7.8,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 교문동 788,31120-CW-00088,1,N,N,37.59240524,127.1374506,4,8.2,14.3,Y,N,Y,18,102,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 교문동 788,31120-CW-00089,1,N,N,37.59240524,127.1374506,4,8.2,14.4,Y,N,Y,17,103,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 교문동 781,31120-CW-00090,1,N,N,37.59464333,127.1365737,2,6,6.9,Y,N,Y,14,106,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 교문동 788,31120-CW-00091,1,N,N,37.59240524,127.1374506,4,8.2,14,Y,N,Y,19,130,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 교문동 788,31120-CW-00092,1,N,N,37.59240524,127.1374506,4,8.1,14.3,Y,N,Y,20,130,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 수택동 860,31120-CW-00093,1,N,N,37.59174346,127.1392008,2,3.8,7,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 수택동 862,31120-CW-00094,1,N,N,37.59188277,127.1425975,4,8,13.6,Y,N,Y,17,58,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 수택동 862,31120-CW-00095,1,N,N,37.59188277,127.1425975,4,8.1,13.7,Y,N,Y,17,58,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 수택동 862,31120-CW-00096,1,N,N,37.59188277,127.1425975,4,3.8,13.6,Y,N,Y,17,58,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 수택동 862,31120-CW-00097,1,N,N,37.59188277,127.1425975,1,3,11.3,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,이문안로,,경기도 구리시 수택동 862,31120-CW-00098,1,N,N,37.5918398,127.1425975,4,8,13.7,Y,N,Y,20,100,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
