address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y,grid_idx
경북 영천시 청통면 신학리 595-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",603,15845316,054-335-6111,청통화랑어린이집,http://place.map.kakao.com/15845316,경북 영천시 청통면 청통초등길 43-2,128.824236915419,35.9941238745665,1773
경북 경산시 와촌면 계전리 8,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",420,9267910,053-243-0004,와촌교회부설 와촌어린이집,http://place.map.kakao.com/9267910,경북 경산시 와촌면 계전길13길 126,128.833820383394,35.963791107412,1925
경북 경산시 와촌면 계당리 1468,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",546,23539886,053-853-7192,계당초등학교 병설유치원,http://place.map.kakao.com/23539886,경북 경산시 와촌면 계당길 27,128.85090885654483,35.928219286789094,2232
경북 영천시 화산면 유성리 607-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",366,9633882,054-335-2856,화산초등학교 병설유치원,http://place.map.kakao.com/9633882,경북 영천시 화산면 장수로 942-9,128.854938354576,36.0204404083492,2253
경북 영천시 금호읍 교대리 214-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",698,24011245,054-334-0709,금호어린이집,http://place.map.kakao.com/24011245,경북 영천시 금호읍 교대길 8-13,128.872300853267,35.932469523229,2470
경북 영천시 금호읍 교대리 130-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",343,26627457,054-331-2685,금호초등학교 병설유치원,http://place.map.kakao.com/26627457,경북 영천시 금호읍 금호로 179,128.880528714578,35.9346260419974,2629
경북 영천시 대창면 조곡리 261,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",575,23537408,054-335-6975,대창초등학교 병설유치원,http://place.map.kakao.com/23537408,경북 영천시 대창면 금창로 787,128.90582897239045,35.86962224947897,2931
경북 영천시 화북면 자천리 1409,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",682,901754007,,별사랑어린이집,http://place.map.kakao.com/901754007,경북 영천시 화북면 천문로 2178,128.91653690722714,36.10545596366529,3063
경북 영천시 화룡동 276-3,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",549,10933084,054-331-3711,한성유치원,http://place.map.kakao.com/10933084,경북 영천시 향군로 35,128.917803737975,35.965339761791505,3110
경북 영천시 화남면 사천리 1238,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",542,23539563,,영천중앙초등학교 병설유치원 (휴원),http://place.map.kakao.com/23539563,경북 영천시 화남면 천문로 1224,128.917581763875,36.0389504211806,3126
경북 영천시 성내동 168,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",669,11140940,054-338-3388,샛별유치원,http://place.map.kakao.com/11140940,경북 영천시 최무선로 236,128.926504872959,35.9639748737119,3267
경북 영천시 금노동 604-36,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",681,9533128,054-332-6032,포도원어린이집,http://place.map.kakao.com/9533128,경북 영천시 담안7길 14,128.93086244999625,35.95903357990275,3267
경북 영천시 창구동 184-48,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",441,10641746,054-331-8527,영천어린이집,http://place.map.kakao.com/10641746,경북 영천시 천문로 409-3,128.928179689806,35.973409294277,3270
경북 영천시 금노동 504-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",498,9304012,054-333-3365,영천초등학교 병설유치원,http://place.map.kakao.com/9304012,경북 영천시 천문로 253,128.93282028034506,35.961601666933745,3346
경북 영천시 문내동 24-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",472,11189557,054-338-6901,영천중앙유치원,http://place.map.kakao.com/11189557,경북 영천시 조양길 71,128.93177716070213,35.97110232105288,3348
경북 영천시 문외동 384,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",607,1497751709,054-335-5055,시립문외센트럴어린이집,http://place.map.kakao.com/1497751709,경북 영천시 충효로 39,128.9332448847019,35.97174186830739,3348
경북 영천시 문외동 139-7,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",478,23864534,054-333-8890,서라벌예술어린이집,http://place.map.kakao.com/23864534,경북 영천시 중앙동2길 53,128.933661892918,35.9742040988659,3349
경북 영천시 문내동 234-13,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",282,19193607,054-337-5895,스타어린이집,http://place.map.kakao.com/19193607,경북 영천시 중앙동2길 108-10,128.931136562157,35.9739276032267,3349
경북 영천시 문외동 201,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",594,1048129633,,수호천사어린이집,http://place.map.kakao.com/1048129633,경북 영천시 청산길 29,128.93494687627162,35.97448433674017,3349
경북 영천시 문외동 15,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",655,1454276482,054-338-1486,영천별빛직장어린이집,http://place.map.kakao.com/1454276482,경북 영천시 시청로 23,128.93758690050478,35.97278554103271,3427
경북 영천시 야사동 344-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",574,7849763,054-331-3266,또래어린이집,http://place.map.kakao.com/7849763,경북 영천시 야사오미길 40,128.940476053602,35.9786859381079,3429
경북 영천시 봉동 805,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",335,1331524877,054-335-3423,가와인어린이집,http://place.map.kakao.com/1331524877,경북 영천시 봉동1길 51,128.94255544275381,35.93297301887351,3498
경북 영천시 완산동 1437,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",582,1940771530,,이편한2차어린이집,http://place.map.kakao.com/1940771530,경북 영천시 완산9길 16,128.944611089891,35.9619670845648,3504
경북 영천시 완산동 1436,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",510,2113131611,,이편한1차어린이집,http://place.map.kakao.com/2113131611,경북 영천시 완산9길 15,128.94368783113,35.9617865131806,3504
경북 영천시 완산동 1460,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",578,2016970643,054-335-0709,미소지움어린이집,http://place.map.kakao.com/2016970643,경북 영천시 완산5길 25,128.94270150579496,35.967581096691084,3505
경북 영천시 야사동 242-5,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",631,10839696,054-336-1399,초롱어린이집,http://place.map.kakao.com/10839696,경북 영천시 영천고1길 33,128.944387965962,35.9718501033552,3506
경북 영천시 완산동 1470,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",534,1896949335,054-331-7055,미소어린이집,http://place.map.kakao.com/1896949335,경북 영천시 완산5길 111,128.946053838946,35.9672816661176,3506
경북 영천시 야사동 233-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",518,8340352,054-334-3357,문화유치원,http://place.map.kakao.com/8340352,경북 영천시 영천고1길 46-13,128.94388959372063,35.9708742059304,3506
경북 영천시 야사동 232,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",634,8385288,054-332-1993,사랑가득한어린이집,http://place.map.kakao.com/8385288,경북 영천시 영천고1길 41,128.944807537848,35.9716018131292,3506
경북 영천시 야사동 120,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",394,9422917,054-337-0711,참빛어린이집,http://place.map.kakao.com/9422917,경북 영천시 충효로 147,128.943956221713,35.9782907796773,3508
경북 영천시 야사동 460,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",573,21517241,054-333-4500,사회복지법인해인어린이집,http://place.map.kakao.com/21517241,경북 영천시 안야사1길 34,128.945571320125,35.9792341485764,3508
경북 영천시 야사동 130-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",620,15486863,054-333-9368,파란나라어린이집,http://place.map.kakao.com/15486863,경북 영천시 야사2길 32,128.947130223978,35.9757234948656,3508
경북 영천시 완산동 484-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",657,9084213,,새싹어린이집,http://place.map.kakao.com/9084213,경북 영천시 바깥완산길 43,128.950956541448,35.9621956535226,3583
경북 영천시 야사동 204-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",486,26094644,054-332-3535,햇살어린이집,http://place.map.kakao.com/26094644,경북 영천시 문화새길 82,128.948109284235,35.9711769924752,3585
경북 영천시 망정동 116,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",684,18281832,,앙팡어린이집,http://place.map.kakao.com/18281832,경북 영천시 동부로 14,128.95014993073616,35.97225485873379,3585
경북 영천시 망정동 116,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",684,14694295,,예일어린이집,http://place.map.kakao.com/14694295,경북 영천시 동부로 14,128.950196757378,35.9722207576511,3585
경북 영천시 망정동 116,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",446,18867041,054-338-6711,튼튼어린이집,http://place.map.kakao.com/18867041,경북 영천시 동부로 14,128.95068999901352,35.972128937382735,3586
경북 영천시 망정동 207-4,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",614,21642686,054-334-4279,아름어린이집,http://place.map.kakao.com/21642686,경북 영천시 망정3길 10-11,128.95264310258963,35.97658000273023,3587
경북 영천시 야사동 34-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",611,8487046,054-338-4764,포은초등학교 병설유치원,http://place.map.kakao.com/8487046,경북 영천시 망정4길 72,128.950444930124,35.9803227859304,3587
경북 영천시 망정동 378-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",642,26086636,054-333-6319,동부어린이집,http://place.map.kakao.com/26086636,경북 영천시 망정로 80,128.95263696633003,35.982719115526635,3588
경북 영천시 망정동 519-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",599,27370865,054-336-5234,베이비하우스어린이집,http://place.map.kakao.com/27370865,경북 영천시 창신길 7,128.9525218719585,35.986326181337375,3589
경북 영천시 망정동 519-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",599,1406406316,054-336-5234,베이하우스어린이집,http://place.map.kakao.com/1406406316,경북 영천시 창신길 7,128.952537607792,35.9862898822511,3589
경북 영천시 망정동 518-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",535,8964834,054-331-1970,리라어린이집,http://place.map.kakao.com/8964834,경북 영천시 창신길 41,128.95201510642602,35.98951701822739,3590
경북 영천시 망정동 468,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",676,3818796,054-333-1117,꼭지어린이집,http://place.map.kakao.com/3818796,경북 영천시 창신1길 35,128.953485519752,35.9888064588392,3590
경북 영천시 망정동 468,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",650,27372307,054-336-8618,밤비니어린이집,http://place.map.kakao.com/27372307,경북 영천시 창신1길 35,128.95329340506837,35.990053067355525,3590
경북 영천시 망정동 518-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",535,24039044,,교동어린이집,http://place.map.kakao.com/24039044,경북 영천시 창신길 41,128.952010762007,35.9895206932288,3590
경북 영천시 망정동 462-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",436,26548123,054-334-5234,청삼어린이집,http://place.map.kakao.com/26548123,경북 영천시 창신1길 12-1,128.9560239517944,35.986717848873056,3668
경북 영천시 망정동 461,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",618,568233230,054-331-1213,코아루어린이집,http://place.map.kakao.com/568233230,경북 영천시 창신1길 42,128.954982024668,35.9900525842531,3668
경북 영천시 망정동 462,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",499,1802311665,,아이뜰어린이집,http://place.map.kakao.com/1802311665,경북 영천시 창신1길 22,128.95565045608598,35.9882503555529,3668
경북 영천시 망정동 462-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",420,17667258,054-332-2977,두리어린이집,http://place.map.kakao.com/17667258,경북 영천시 창신1길 12,128.955403329413,35.9873569176087,3668
경북 영천시 망정동 462-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",432,7853272,,하하하어린이집,http://place.map.kakao.com/7853272,경북 영천시 창신1길 12,128.954713507049,35.9881575019227,3668
경북 영천시 망정동 409-6,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",436,9556929,054-334-1177,한솔어린이집,http://place.map.kakao.com/9556929,경북 영천시 창신길 87,128.956025987913,35.9913799599002,3669
경북 영천시 고경면 단포리 160,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",603,8839490,054-335-5760,단포초등학교 병설유치원,http://place.map.kakao.com/8839490,경북 영천시 고경면 호국로 343,128.9747817191864,35.98087518104012,3904
경북 영천시 임고면 양항리 616-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",685,13318253,054-336-7750,임고 보듬이나눔이어린이집,http://place.map.kakao.com/13318253,경북 영천시 임고면 포은로 491,128.973939387136,36.0210919516853,3912
경북 영천시 임고면 양항리 616-1,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",445,23862851,,임고면 어린이집,http://place.map.kakao.com/23862851,경북 영천시 임고면 포은로 491,128.97376046021364,36.02156705536209,3913
경북 영천시 북안면 고지리 580-2,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",575,9059851,054-332-6598,북안초등학교 병설유치원,http://place.map.kakao.com/9059851,경북 영천시 북안면 운북로 1984,129.01114193683358,35.91504000119119,4442
경북 영천시 고경면 동도리 618,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 유치원",531,9657201,054-336-3408,고경초등학교 병설유치원,http://place.map.kakao.com/9657201,경북 영천시 고경면 호국로 1276,129.06843315722125,36.00326460144609,5252
